,vocal,meaning
2841,miscreant,wretch; wrongdoer; villain; Ex. kindness to the miscreant; CF. believe
2842,misdemeanor,minor crime; misdeed; wrongdoing
2843,miserly,stingy; mean
2844,misgivings,doubts
2845,mishap,unfortunate accident
2846,misnomer,wrong or improper name; incorrect designation
2847,misogamy,hatred of marriage
2848,misogynist,hater of woman; CF. misogyny
2849,missile,object to be thrown or projected
2850,missive,letter; written statement; CF. sent
2851,mite,very small object or insect-like creature; small coin
2852,mitigate,appease; moderate; make or become less in force or intensity
2853,mnemonic,"pertaining to memory; assisting the memory; N: device, such as as formula or rhyme, used as a mnemonic aid"
2854,mobile,movable; not fixed; N. mobility
2855,mock,ridicule; deride; imitate often in derision
2856,mode,prevailing style; current fashion; manner; way of doing something; Ex. in the latest mode; Ex. simple mode of life
2857,modicum,limited quantity; small amount; Ex. He does not have a modicum of sense; CF. moderate
2858,modish,fashionable; conforming to the current fashion
2859,modulate,tone down in intensity; change the intensity or tone of; regulate; change from one musical key to another; Ex. modulate from E to G
2860,mogul,"powerful person; Ex. oil moguls; CF. Mogol, Moghul; CF. Mongolian"
2861,molecule,the smallest particle (one or more atoms) of a substance that has all the properties of that substance
2862,mollify,soothe an angry person
2863,mollycoddle,pamper; coddle; baby; indulge excessively
2864,molt(moult),periodically shed or cast off hairs or feathers (for replacement by a new growth)
2865,molten,melted; Ex. molten lava
2866,momentous,very important; N. moment; CF. momentary
2867,momentum,quantity of motion of a moving body; impetus; moving force
2868,monarchy,government under a single ruler
2869,monastic,related to monks or monasteries; removed from worldly concerns
2870,monetary,pertaining to money
2871,mongrel,plant or animal (esp. a dog) of mixed breed; ADJ.
2872,monochromatic,having only one color
2873,monochrome,painting in only one color; ADJ.
2874,monogram,design composed of one or more initials of a name; V.
2875,monograph,scholarly article
2876,monolithic,solidly uniform; unchangeable; unyielding; N. monolith: large block of stone
2877,monotheism,belief in one God
2878,monotony,sameness leading to boredom; monotonousness; ADJ. monotonous; CF. monotone
2879,monumental,massive; impressively large; built as a monument
2880,moodiness,fits of depression or gloom; ADJ. moody: given to changeable moods; subject to periods of depression; gloomy CF. mood: | state of mind or emotion
2881,moratorium,legal delay of payment or action; Ex. declare moratorium on the building of new houses
2882,morbid,given to unwholesome or unhealthy thought; moody; characteristic of disease; Ex. morbid curiosity; N. morbidity; CF. disease
2883,mordant,biting; sarcastic; stinging; (apprec.) incisive; cutting; Ex. mordant pen/wit
2884,mores,conventions; moral standards; moral customs
2885,morgue,mortuary; place where bodies are kept before burial or cremation
2886,moribund,dying; at the point of death; CF. death
2887,morose,ill-humored; sullen; sullenly melancholy
2888,mortar,vessel in which substances are crushed with a pestle
2889,mortician,undertaker; CF. death
2890,mortify,humiliate by embarassing excessively; shame; punish the flesh; discipline (one's body) by self-denial; Ex. mortified by her blunder; Ex. mortify the flesh; CF. cause to die
2891,mosaic,picture made of small colorful inlaid tiles; ADJ.
2892,mote,small speck (esp. of dust)
2893,motif,theme; recurrent thematic element in a musical or literary work; single or repeated pattern; figure
2894,motility,ability to move spontaneously; ADJ. motile: moving spontaneously
2895,motley,multi-colored (as of a garment worn by a jester); mixed; heterogeneous; CF. jester: one who jests (as a paid fool at medieval courts)
2896,mottled,blotched in coloring; spotted; Ex. mottled face; V. mottle: mark with blotches of different colors
2897,motto,brief statement used to express a principle
2898,mountebank,charlatan; boastful pretender
2899,muddle,confuse; mix up confusedly; N: state of confusion
2900,muggy,(of weather) warm and damp
2901,mulct,defraud a person of something; swindle; Ex. mulct the boy of his legacy
2902,multifarious,varied; greatly diversified; Ex. multifarious activities
2903,multiform,having many forms
2904,multilingual,having many languages; fluent in several languages
2905,multiplicity,state of being numerous or multiple; large number; Ex. multiplicity of details; ADJ. multiple: of more than one element
2906,mundane,worldly as opposed to spiritual; everyday; of the ordinary; Ex. mundane existence; CF. world
2907,munificent,very generous in giving; Ex. munificent benefactor; N. munificience
2908,mural,wall painting
2909,murky,dark and gloomy; thick with fog; vague; Ex. murky night/fog; N. murk: partial or complete darkness; gloom
2910,murmur,"low, indistinct, continuous sound; V. CF. mumble"
2911,muse,ponder at length; N: source of inspiration (esp. of a poet)
2912,musky,having the odor of musk; N. musk: odorous substance secreted by an Asian deer
2913,muster,gather; assemble (troops); Ex. muster up one's strength for the ordeal; N.
2914,musty,stale (in odor or taste); spoiled by age; CF. moist
2915,mutablility,ability to change in form; fickleness; ADJ. mutable: able to change; fickle; CF. mutate; CF. mutant
2916,mute,"silent; without speech; not pronounced; unable to speak; N: one who is incapable of speech; V: soften the sound, color, shade of"
2917,muted,silent; muffled; toned down; Ex. muted traffic noise
2918,mutilate,maim; injure lastingly; deprive of a limb or an essential part
2919,mutinous,unruly; rebellious; Ex. mutinous teenagers; N. mutiny: open
2920,mutter,utter (complaining words) indistinctly in low tones
2921,myopic,nearsighted; lacking foresight; N. myopia
2922,myriad,very large number; ADJ. CF. ten thousand
2923,mystic,of hidden meaning and spiritual power; Ex. mystic ceremonies; N. CF. mysticism
2924,narcissist,conceited person; N. narcissism; CF. narcissus
2925,narrative,related to telling a story; N: narrated account; story; V. narrate: tell (a story); CF. narration
2926,nascent,incipient; coming into being or existence; Ex. nascent ability in music
2927,natal,connected with birth; CF. prenatal; CF. postnatal
2928,natation,swimming
2929,natty,neatly or smartly dressed; dapper; smart; Ex. natty dresser
2930,nausea,feeling of sickness and desire to vomit; disgust; CF. seasickness
2931,nauseate,cause to become sick; fill with disgust; fill nausea
2932,nauseous,causing nausea; feeling nausea
2933,nautical,pertaining to ships or navigation
2934,navigable,(of a body of water) wide and deep enough to allow ships to pass through; (of a ship or aircraft) able to be steered
2935,nebula,diffuse mass of interstellar dust or gas; galaxy
2936,nebulous,vague; hazy; cloudy; of a nebula; Ex. nebulous proposal
2937,necromancy,black magic; sorcery; dealings with the dead; art that professes to communicate with the spirits of the dead so as to predict the future; CF. necromancer; CF. necro+divination; CF. necro-: death; Ex. necropolis
2938,nectar,drink of the gods; sweet liquid collected by bees
2939,nefarious,very wicked
2940,negate,cancel out; nullify; cause to have no effect; deny; N. negation
2941,negligence,neglect; failure to take reasonable care; ADJ. negligent: neglectful; lax; not taking enough care
2942,negligible,"so small, trifling, or unimportant as to be easily disregarded"
2943,nemesis,someone seeking revenge; source of downfall or ruin; CF. Nemesis
2944,neologism,new or newly coined word or phrase
2945,neophyte,recent convert; new member of a religious group; beginner; CF. plant
2946,nepotism,favoritism (to a relative); CF. nephew
2947,nether,lower; Ex. nether garments/regions
2948,nettle,irritate; annoy; vex; ADJ. nettlesome
2949,nexus,connection
2950,nib,beak(bill); pen point
2951,nicety,precision; accuracy; minute distinction or difference; Ex. to a nicety: exactly; precisely; Ex. distinguish between niceties
2952,niggardly,meanly stingy; parsimonious; N. niggard: stingy person
2953,niggle,spend too much time on minor points (esp. when finding fault); find fault; Ex. niggle over details; ADJ. niggling
2954,nihilist,one who considers traditional beliefs to be groundless and existence meaningless; absolute skeptic; revolutionary terrorist; CF. nihilism: belief that nothing has meaning or value; belief that destruction of existing political or social institutio
2955,nimble,quick in movement; agile; quick in understanding; Ex. nimble climber/mind
2956,nip,snip off; stop something's growth or development; bite; make numb with cold; Ex. nip the plan; Ex. A guard dog nipped the postman; Ex. fingers nipped by the extreme chill
2957,nirvana,"in Buddhist teachings, the ideal state in which the individual loses himself in the attainment of an impersonal beatitude"
2958,nocturnal,done or active at night; Ex. nocturnal animals/raids; CF. nocturne
2959,noisome,foul smelling; very unpleasant; unwholesome
2960,nomadic,wandering; N. nomad: tribe who migrates from place to place
2961,nomenclature,terminology(system of specialized words); system of names or naming things
2962,nominal,in name only; of a name; trifling; (of a sum of money) very small; CF. nominate: propose as a candidate; appoint
2963,nonchalance,indifference; lack of concern; composure; ADJ. nonchalant: unconcerned; cool; indifferent; Ex. nonchalant attitude to his debts
2964,noncommittal,neutral; refusing commitment to a particular opinion; unpledged; undecided
2965,nondescript,undistinctive; ordinary; ordinary-looking; Ex. nondescript fellow in a crowd
2966,nonentity,person of no importance; nonexistence
2967,nonplus,put at a loss; bring to a halt by confusion; perplex; CF. no more
2968,nonsense,speech or writing with no meaning; foolish behavior or language; Ex. make (a) nonsense of: spoil; cause to fail
2969,noose,loop formed in a rope
2970,nostalgia,homesickness; longing for the past; Ex. nostalgia for the clothes of 1920s; ADJ. nostalgic
2971,nostrum,questionable medicine; quack medicine; CF. our (remedy)
2972,notable,conspicuous; worthy of note; remarkable; important; distinguished; noted
